"country_name","YearlySalary","wage_span","median_salary","average_salary","lowest_salary","highest_salary"
"Switzerland","118032.84","Monthly","9836.07","11292.9","2850.27","50363.93"
"Syria","121.44","Monthly","10.12","11.51","2.9","51.2"
"Taiwan","42857.159999999996","Monthly","3571.43","4037.27","1015.53","17919.25"
"Tajikistan","11517.36","Monthly","959.78","1069.47","269.65","4753.2"
"Tanzania","5493.24","Monthly","457.77","505.54","126.98","2245.08"
"Thailand","29187.36","Monthly","2432.28","2662.11","670.31","11846.79"
"Togo","9455.52","Monthly","787.96","852.41","214.31","3786.72"
"Tonga","8017.08","Monthly","668.09","778.72","195.74","3459.57"
"Trinidad and Tobago","15097.32","Monthly","1258.11","1445.43","364.31","6430.68"
"Tunisia","13059.96","Monthly","1088.33","1239.75","312.3","5520.5"
"Turkey","3049.2","Monthly","254.1","286.13","72.08","1274.12"
"Turkmenistan","16114.32","Monthly","1342.86","1500.0","377.14","6657.14"
"Turks and Caicos Islands","16200.0","Monthly","1350","1490","380","6640"
"Uganda","7742.52","Monthly","645.21","698.31","176.04","3106.55"
"Ukraine","6368.76","Monthly","530.73","622.8","157.32","2761.98"
"United Arab Emirates","39891.0","Monthly","3324.25","3896.46","708.45","18637.6"
"United Kingdom","75600.0","Monthly","6300.0","7235.37","1829.27","32214.63"
"United States","83592.0","Monthly","6966","7925","2000","35250"
"Uruguay","9283.68","Monthly","773.64","862.2","217.24","3829.12"
"Uzbekistan","1167.0","Monthly","97.25","106.98","27.07","477.35"
"Vanuatu","9008.880000000001","Monthly","750.74","821.77","207.3","3650.48"
"Venezuela","39384.24","Monthly","3282.02","3862.91","972.99","17165.26"
"Vietnam","7350.84","Monthly","612.57","711.24","179.25","3161.52"
"Virgin Islands (British)","19200.0","Monthly","1600","1840","460","8180"
"Virgin Islands (US)","28560.0","Monthly","2380","2710","680","12000"
"Western Sahara","10902.72","Monthly","908.56","1011.67","254.86","4503.89"
"Yemen","1451.76","Monthly","120.98","133.36","33.62","594.93"
"Zambia","3.13602048","Monthly","0.26133504","0.28552394","0.072092424","1.2711033"
"Zimbabwe","6664.824480000001","Monthly","555.40204","602.37635","151.42305","2674.772"
